text,Опыт работы,Обязанности,Дополнительные требования,График работы,Высшее образование,Требуемые навыки
"""Что мы предлагаем:  Доход до 80000 ₽ , состоит из оклада и ежемесячной премии по результатам работы; График работы 2/2; Оформление в штат с первого рабочего дня, расширенный соцпакет для опытных сотрудников: компенсация затрат на фитнес или медицинские услуги, дополнительные выплаты к отпуску, компенсация процентов по ипотечному кредиту; Оборудование и спецодежда предоставляются, Всестороннее развитие: корпоративный онлайн-университет, доступ к электронным библиотекам с широким выбором бизнес-литературы, компенсация профильного внешнего обучения; Компенсация сотовой связи и специальные условия на услуги компании для сотрудников, корпоративные скидки у компаний-партнеров;  Чем предстоит заниматься:  Подключение новых абонентов (физических лиц) к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; Настройка оборудования и первичная проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении.  Что мы от вас ждем:  Готовность к разъездному и интенсивному характеру работы; Грамотная речь и четкая дикция; Быстрая обучаемость и стремление постоянно учиться новому. Опыт работы в телекоммуникациях (подключение услуг связи или выездная техническая поддержка) Будет вашим преимуществом;  Готовы рассмотреть кандидатов с опытом работы на вакансиях: техник, монтажник, электрик, электромонтёр, кабельщик, системный администратор, техник-слаботочник, выездной мастер, инженер-монтажник, сервисный инженер.""","Опыт работы в телекоммуникациях (подключение услуг связи или выездная техническая поддержка) Будет вашим преимуществом; с опытом работы на вакансиях: техник, монтажник, электрик, электромонтёр, кабельщик, системный администратор, техник-слаботочник, выездной мастер, инженер-монтажник, сервисный инженер","Подключение новых абонентов (физических лиц) к услугам компании; интернет, интерактивное ТВ, видеонаблюдение, умный дом; Настройка оборудования и первичная проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении",Готовность к разъездному и интенсивному характеру работы; Грамотная речь и четкая дикция; Быстрая обучаемость и стремление постоянно учиться новому,График работы 2/2;,,
"""Что мы предлагаем:  Доход до 80000 ₽, состоит из оклада и ежемесячной премии по результатам работы; График работы 5/2; Оформление в штат с первого рабочего дня, расширенный соцпакет для опытных сотрудников: компенсация затрат на фитнес или медицинские услуги, дополнительные выплаты к отпуску, компенсация процентов по ипотечному кредиту; Оборудование и спецодежда предоставляются, компенсация за использование личного автомобиля-при наличии; Всестороннее развитие: корпоративный онлайн-университет, доступ к электронным библиотекам с широким выбором бизнес-литературы, компенсация профильного внешнего обучения; Компенсация сотовой связи и специальные условия на услуги компании для сотрудников, корпоративные скидки у компаний-партнеров.  Чем предстоит заниматься:  Обслуживание текущих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; Ремонт линий связи и настройка оборудования, проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении.  Что мы от вас ждем:  Готовность к разъездному и интенсивному характеру работы; Грамотная речь Быстрая обучаемость и стремление постоянно учиться новому; Опыт работы в телекоммуникациях (подключение услуг связи или выездная техническая поддержка) Будет вашим преимуществом.  Готовы рассмотреть кандидатов с опытом работы на вакансиях: техник, монтажник, электрик, электромонтёр, системный администратор, техник-слаботочник, выездной мастер, инженер-монтажник, сервисный инженер.""","Опыт работы в телекоммуникациях (подключение услуг связи или выездная техническая поддержка) Будет вашим преимуществом; опытом работы на вакансиях: техник, монтажник, электрик, электромонтёр, системный администратор, техник-слаботочник, выездной мастер, инженер-монтажник, сервисный инженер","Обслуживание текущих абонентов (физических лиц) и устранение перебоев доступа к услугам компании; интернет, интерактивное ТВ, видеонаблюдение, умный дом; Ремонт линий связи и настройка оборудования, проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении",Готовность к разъездному и интенсивному характеру работы; Грамотная речь; Быстрая обучаемость и стремление постоянно учиться новому,График работы 5/2,,
"""Что мы предлагаем:  Доход до 80000 ₽, состоит из оклада и ежемесячной премии по результатам работы; График работы 5/2; Оформление в штат с первого рабочего дня, расширенный соцпакет для опытных сотрудников: компенсация затрат на фитнес или медицинские услуги, дополнительные выплаты к отпуску, компенсация процентов по ипотечному кредиту; Оборудование и спецодежда предоставляются, Всестороннее развитие: корпоративный онлайн-университет, доступ к электронным библиотекам с широким выбором бизнес-литературы, компенсация профильного внешнего обучения; Компенсация сотовой связи и специальные условия на услуги компании для сотрудников, корпоративные скидки у компаний-партнеров.  Чем предстоит заниматься:  Обслуживание текущих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; Ремонт линий связи и настройка оборудования, проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении.  Что мы от вас ждем:  Готовность к разъездному и интенсивному характеру работы; Грамотная речь и четкая дикция; Быстрая обучаемость и стремление постоянно учиться новому; Опыт работы в телекоммуникациях (подключение услуг связи или выездная техническая поддержка) Будет вашим преимуществом.  Готовы рассмотреть кандидатов с опытом работы на вакансиях: техник, монтажник, электрик, электромонтёр, кабельщик, системный администратор, техник-слаботочник, выездной мастер, инженер-монтажник, сервисный инженер.""","Опыт работы в телекоммуникациях (подключение услуг связи или выездная техническая поддержка) Будет вашим преимуществом; с опытом работы на вакансиях: техник, монтажник, электрик, электромонтёр, кабельщик, системный администратор, техник-слаботочник, выездной мастер, инженер-монтажник, сервисный инженер","Обслуживание текущих абонентов (физических лиц) и устранение перебоев доступа к услугам компании; интернет, интерактивное ТВ, видеонаблюдение, умный дом; Ремонт линий связи и настройка оборудования; проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам;; Ведение отчетности в мобильном приложении",Готовность к разъездному и интенсивному характеру работы; Грамотная речь и четкая дикция; Быстрая обучаемость; стремление постоянно учиться новому,График работы 5/2,,
"""Обязанности: • Обслуживание текущих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом;• Ремонт линий связи и настройка оборудования, проверка работоспособности;• Консультирование клиентов по работе оборудования и техническим вопросам;• Ведение отчетности в мобильном приложении. Требования: """,,"Обслуживание текущих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; Ремонт линий связи и настройка оборудования, проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении",,,,
"""Обязанности:  Работа с запросами правоохранительных органов в соответствии с внутренними регламентирующими документами компании; Осуществлять контроль своевременности предоставления информации работниками подразделений Филиалов для подготовки ответов на запросы; Обеспечение сбора, накопления и систематизации информации, для подготовки ответов/обоснований невозможности предоставления информации; Осуществлять регистрацию ответов на запросы субъектов оперативно-розыскной деятельности;  Требования:  Высшее техническое образование; Умение работать с большим объёмом информации; Опыт работы в сфере телекоммуникаций и связи от 1 года- желательно;  Условия:  Пятидневная рабочая неделя 9.00-18.00; Стабильный и прозрачный доход оклад + годовой бонус; Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами; Бесплатное обучение: профильные курсы и конференции за счет компании, корпоративный онлайн-университет, электронные библиотеки, митапы и вебинары; Медстраховка после испытательного срока (стоматология, телемедицина, вызов врача, обследования), жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка), помощь корпоративного психолога и юриста; Насыщенная жизнь внутри компании: спортивные события и турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность; Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха""",Опыт работы в сфере телекоммуникаций и связи от 1 года- желательно,"Работа с запросами правоохранительных органов в соответствии с внутренними регламентирующими документами компании; Осуществлять контроль своевременности предоставления информации работниками подразделений Филиалов для подготовки ответов на запросы; Обеспечение сбора, накопления и систематизации информации, для подготовки ответов/обоснований невозможности предоставления информации; Осуществлять регистрацию ответов на запросы субъектов оперативно-розыскной деятельности",Умение работать с большим объёмом информации,Пятидневная рабочая неделя 9.00-18.00,Высшее техническое образование,
"""Ростелеком ищет мастера по обслуживанию абонентов, который усилит команду блока технической инфраструктуры. Мы используем передовые технологии, чтобы дать новые возможности для людей, бизнеса и страны. Вам предстоит много передвигаться по городу, обслуживать линии связи и помогать абонентам с восстановлением доступа к цифровым услугам. В надежной команде признанного технологического лидера на рынке телекоммуникаций и IT-решений вы сможете превратить любые вызовы в возможности реализовать себя и раскрыть свой потенциал. Обязанности или Чем предстоит заниматься:  Обслуживание текущих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; Ремонт линий связи и настройка оборудования, проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении.    Требования или Что мы от вас ждем:  Образование не ниже среднего; Опыт работы не нужен; Готовность к разъездному и интенсивному характеру работы; Грамотная речь и четкая дикция, умение быстро устанавливать контакт с людьми и выявлять потребности клиента; Нацеленность на результат и проактивность в решении повседневных задач.    Будет преимуществом:  Наличие опыта электромонтажных работ, настройки оборудования для выхода в интернет; Опыт работы в телекоммуникациях (инсталляция услуг связи или выездная техническая поддержка); Понимание работы сетей связи и схем подключения оборудования.    Условия или Что мы предлагаем:  Станьте частью команды крупнейшего в России интегрированного провайдера цифровых услуг и решений: влияйте своей работой на цифровой ландшафт страны и развивайтесь вместе с технологиями; Стабильный доход от 60000 ₽ с первого месяца, ежемесячные премии по результатам работы; График работы 5/2 (либо 2/2) с плавающими выходными ; Оформление в штат с первого рабочего дня, расширенный соцпакет после испытательного срока: полис ДМС, компенсация затрат на фитнес и медицинские услуги ( уточнят при собеседовании). Оборудование и спецодежда предоставляются; Всестороннее развитие: корпоративный онлайн-университет, доступ к электронным библиотекам с широким выбором бизнес-литературы, компенсация профильного внешнего обучения; Опытные коллеги и наставники, которые помогут быстрее адаптироваться в компании; Компенсация сотовой связи и специальные условия на услуги компании для сотрудников, корпоративные скидки у компаний-партнеров; Возможности для участия в социальных программах: волонтерство, благотворительность, спортивные проекты.""","Опыт работы не нужен; Будет преимуществом: Наличие опыта электромонтажных работ, настройки оборудования для выхода в интернет; Опыт работы в телекоммуникациях (инсталляция услуг связи или выездная техническая поддержка);; График работы 5/2; (либо 2/2)","мастера по обслуживанию абонентов; много передвигаться по городу; обслуживать линии связи и помогать абонентам с восстановлением доступа к цифровым услугам.; Обслуживание текущих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; Ремонт линий связи и настройка оборудования, проверка работоспособности; Консультирование клиентов по работе оборудования и техническим вопросам; Ведение отчетности в мобильном приложении",Готовность к разъездному и интенсивному характеру работы; Грамотная речь и четкая дикция; умение быстро устанавливать контакт с людьми и выявлять потребности клиента;; Нацеленность на результат и проактивность в решении повседневных задач; Понимание работы сетей связи и схем подключения оборудования,,Образование не ниже среднего,
"""«Ростелеком» — крупнейший в России провайдер цифровых услуг и решений. Мы прошли путь от классической телекоммуникационной компании до технологичной цифровой компании, в которой накопленный опыт и открытость к инновациям создают бесконечные возможности для развития. Мы ищем в свою команду специалиста по клиентским включениям – человека, который усилит команду по работе с клиентами корпоративного и государственного сегментов. Нам нужен тот, кто нацелен на результат и умеет находить лучшие решения для включения клиентов Чем ты будешь заниматься:  Принимать и распределять заявки на подключение услуг Оформлять заявки на проверку технической возможности подключения услуг Формировать документы для подключения услуг Подключать услуги и личный кабинет для новых клиентов Информировать клиентов о времени установки/подключении услуги    Мы ищем в свою команду:  Нацеленных на результат Умеющих работать с большим объемом информации Уверенных пользователей ПК Обладающих навыком ведения переговоров Способных быстро обучаться, воспринимать информацию Знание нормативно-правовой базы в области оказания услуг связи - будет преимуществом    Что мы предлагаем:  Полностью белая заработная плата от 30000 рублей (фиксированная часть + премия) Стабильный график работы 5/2 Оформление по ТК РФ  Обучение за счет компании с возможностью развития: корпоративный онлайн-университет, программы обучения коммуникаций с клиентами, доступ к электронным библиотекам Комфортабельный офис по адресу: Нижний Новгород, улица Софьи Перовской, 13 Дополнительные бонусы сотрудникам компании и корпоративные скидки    «Ростелеком» – это территория возможностей и технологий, которые позволят тебе формировать цифровой ландшафт страны, раскроют твой потенциал и изменят твоё профессиональное будущее""",,Принимать и распределять заявки на подключение услуг; Оформлять заявки на проверку технической возможности подключения услуг; Формировать документы для подключения услуг; Подключать услуги и личный кабинет для новых клиентов; Информировать клиентов о времени установки/подключении услуги,Нацеленных на результат; Умеющих работать с большим объемом информации; Обладающих навыком ведения переговоров; Знание нормативно-правовой базы в области оказания услуг связи - будет преимуществом,5/2,,пользователей ПК
"""Обязанности:  Выполнение работ по восстановлению линий связи; Разработка технологических карт; Выезды на АВР; Отчетность.  Требования:  Образование среднее специальное/ высшее; Опыт работы в сфере связи будет преимуществом ;  Условия:  Работа в Ростелекоме —это официальное оформление и широкий соцпакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться Стабильный и прозрачный доход с первого месяца: оклад + ежемесячные премии. Пятидневная рабочая неделя с 08:00 до 17:00. Преимущественно разъездной характер работы. Адрес офиса: г. Краснодар, ул. им. Кутузова 49. Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами Медстраховка после испытательного срока (телемедицина),жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка),помощь корпоративного психолога и юриста. Насыщенная жизнь внутри компании: спортивные события и турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.""",Опыт работы в сфере связи будет преимуществом,Выполнение работ по восстановлению линий связи; Разработка технологических карт; Выезды на АВР; Отчетность,Преимущественно разъездной характер работы,Пятидневная рабочая неделя; с 08:00 до 17:00,Образование среднее специальное/ высшее,
"""Обязанности:  Техническая эксплуатация станционного оборудования: DSL (DSLAM); PON (OLT); Оборудование FTTx (включая активное внутридомовое (подъезд/площадка)  оборудование/коммутаторы доступа),  Эксплуатация линейно - кабельных сооружений ( оптическая инфраструктура).  Требования:  Образование высшее\\среднее специальное; Опыта работы от года; Высокая ответственность Навыки основ электросвязи, электротехники. Знание ПК, IT-технологий.  Условия:  Работа в Ростелекоме —это официальное оформление и широкий соцпакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться Стабильный и прозрачный доход с первого месяца. Пятидневная рабочая неделя с 08:00 до 17:00. Преимущественно разъездной характер работы. Адрес офиса: г. Абинск , ул. Советов, 148. Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами Медстраховка после испытательного срока (телемедицина),жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка),помощь корпоративного психолога и юриста. Насыщенная жизнь внутри компании: спортивные события турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.""",Опыта работы от года,"Техническая эксплуатация станционного оборудования: DSL (DSLAM); PON (OLT);; Оборудование FTTx (включая активное внутридомовое (подъезд/площадка) оборудование/коммутаторы доступа),; Эксплуатация линейно - кабельных сооружений ( оптическая инфраструктура).",Высокая ответственность; Преимущественно разъездной характер работы,Пятидневная рабочая неделя,Образование высшее\\среднее специальное,"Навыки основ электросвязи, электротехники; Знание ПК; IT-технологий.; с 08:00 до 17:00"
"""Обязанности:  Техническая эксплуатация станционного оборудования: DSL (DSLAM); PON (OLT); Оборудование FTTx (включая активное внутридомовое (подъезд/площадка); Оборудование/коммутаторы доступа), эксплуатация линейно - кабельных сооружений (оптическая инфраструктура) ; Руководство сотрудниками, группа эксплуатации; Ведение отчетности.  Требования:  Среднее профессиональное образование; Уверенное пользование ПК; Знание основ электросвязи, электротехники; Желателен опыт работы в телеком сфере.  Условия:  График работы 5/2 с 08:00 до 17:00, СБ-ВС - выходные. Заработная плата оклад 40160 + премия 23% Дополнительное денежное вознаграждение.""",Желателен опыт работы в телеком сфере,"Техническая эксплуатация станционного оборудования: DSL (DSLAM); PON (OLT);; Оборудование FTTx (включая активное внутридомовое (подъезд/площадка); Оборудование/коммутаторы доступа),; эксплуатация линейно - кабельных сооружений (оптическая инфраструктура); Руководство сотрудниками; группа эксплуатации; Ведение отчетности",,График работы 5/2; с 08:00 до 17:00,Среднее профессиональное образование,"Уверенное пользование ПК; Знание основ электросвязи, электротехники"
"""Обязанности:  Осуществление работы по техническому обслуживанию базовых станций связи; Выполнение ремонтно-восстановительных работ на объектах связи; Участие в модернизации объектов.  Требования:  Высшее техническое образование; Знания об оборудовании базовых станций сотовой связи.  Условия:  Работа в Ростелекоме —это официальное оформление и широкий соцпакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться; Стабильный и прозрачный доход от 63000₽ с первого месяца: оклад + ежемесячные премии; Пятидневная рабочая неделя с 08:00 до 17:00; Адрес офиса: г. Новороссийск, ул. Козлова, д. 62; Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами; Медстраховка после испытательного срока (телемедицина),жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка),помощь корпоративного психолога и юриста; Насыщенная жизнь внутри компании: спортивные события и турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность; Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.""",,Осуществление работы по техническому обслуживанию базовых станций связи; Выполнение ремонтно-восстановительных работ на объектах связи; Участие в модернизации объектов,,Пятидневная рабочая неделя; с 08:00 до 17:00,Высшее техническое образование,Знания об оборудовании базовых станций сотовой связи
"""Мы ищем технического тренера с опытом работы в телекоммуникациях, который возьмёт на себя функцию управления обучением и развитием новых сотрудников блока технической инфраструктуры: инсталляторов, специалистов третьей линии поддержки клиентов. Вам предстоит проводить практикумы, диагностику навыков, выездную диагностику на закрепленной территории, участвовать в разработке и обновлении методических материалов, сопровождать новичков во время адаптации Чем предстоит заниматься:  Проведение обучающих мероприятий для новых и действующих сотрудников блока технической инфраструктуры в офлайн- и онлайн-формате; Обучение навыкам подключения услуг компании (интернет, интерактивное ТВ, видеонаблюдение, умный дом) и устранения неисправностей на сетях доступа; Аттестацию (тестирование) сотрудников по итогам обучения и оценка эффективности, сбор и обработка обратной связи; Консультирование сотрудников по вопросам обучения.  Требования:  Опыт работы в инсталляции услуг связи или выездной технической поддержке от 1 года; Высшее образование; Умение систематизировать и структурировать большой объем информации; Грамотная и четкая речь, хорошая дикция; Стремление постоянно учиться новому и проактивность в решении повседневных задач.  Что мы предлагаем:  Станьте частью команды крупнейшего в России интегрированного провайдера цифровых услуг и решений: влияйте своей работой на цифровой ландшафт страны и развивайтесь вместе с технологиями; Прозрачный и стабильный доход: зарплата обсуждается по итогам собеседования - фиксированный оклад и годовой бонус; График работы 5/2, суббота, воскресенье выходной ; Оформление в штат с первого рабочего дня, полный соцпакет; Современный офис в центре города; Специальные условия на услуги компании для сотрудников и корпоративные скидки у компаний-партнеров; Всестороннее обучение: корпоративный онлайн-университет, доступ к электронным библиотекам с широким выбором бизнес-литературы, компенсация профильного внешнего обучения.""","с опытом работы в телекоммуникациях,; Опыт работы в инсталляции услуг связи или выездной технической поддержке от 1 года","управления обучением и развитием новых сотрудников блока технической инфраструктуры: инсталляторов, специалистов третьей линии поддержки клиентов; проводить практикумы, диагностику навыков,; выездную диагностику на закрепленной территории; участвовать в разработке и обновлении методических материалов; сопровождать новичков во время адаптации; Проведение обучающих мероприятий для новых и действующих сотрудников блока технической инфраструктуры в офлайн- и онлайн-формате; Обучение навыкам подключения услуг компании (интернет, интерактивное ТВ, видеонаблюдение, умный дом) и устранения неисправностей на сетях доступа; Аттестацию (тестирование) сотрудников по итогам обучения и оценка эффективности; сбор и обработка обратной связи; Консультирование сотрудников по вопросам обучения","Умение систематизировать и структурировать большой объем информации; Грамотная и четкая речь, хорошая дикция; Стремление постоянно учиться новому и проактивность в решении повседневных задач",График работы 5/2,Высшее образование,
